City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Angoche,MZ,2020-06-17 02:21:31,-16.23,39.91,67.93,90,35,11.74
249,Sao Joao Da Barra,BR,2020-06-17 02:21:32,-21.64,-41.05,69.89,76,100,11.5
250,Witu,KE,2020-06-17 02:21:32,-2.39,40.44,76.69,71,86,13.02
251,Acajutla,SV,2020-06-17 02:21:32,13.59,-89.83,73.99,98,100,1.01
252,North Bend,US,2020-06-17 02:21:33,43.41,-124.22,61.0,72,20,6.93
253,Belaya Gora,RU,2020-06-17 02:21:33,68.53,146.42,86.47,20,55,9.15
254,Nikolskoye,RU,2020-06-17 02:21:33,59.7,30.79,66.99,88,95,2.71
255,Ust-Tsilma,RU,2020-06-17 02:21:33,65.44,52.15,42.57,65,100,9.86
256,Conde,BR,2020-06-17 02:21:34,-7.26,-34.91,73.4,100,75,5.82
257,Conop,RO,2020-06-17 02:21:34,46.1,21.88,63.0,100,97,3.76
258,Altea,ES,2020-06-17 02:21:35,38.6,-0.05,68.0,85,26,2.77
259,Vaitape,PF,2020-06-17 02:21:36,-16.52,-151.75,80.53,77,95,1.79
260,Bukachacha,RU,2020-06-17 02:21:36,52.98,116.92,72.95,50,77,7.85
261,Kaeo,NZ,2020-06-17 02:21:36,-35.1,173.78,64.99,10,100,5.01
262,Brae,GB,2020-06-17 02:21:37,60.4,-1.35,48.2,100,92,2.24
263,Mount Isa,AU,2020-06-17 02:21:37,-20.73,139.5,77.0,31,0,12.75
264,Yulara,AU,2020-06-17 02:21:37,-25.24,130.99,60.8,31,0,20.8
265,Mitsamiouli,KM,2020-06-17 02:21:38,-11.38,43.28,78.08,72,68,7.87
266,Loandjili,CG,2020-06-17 02:21:39,-4.76,11.86,70.97,91,59,1.1
267,Ambilobe,MG,2020-06-17 02:21:40,-13.2,49.05,65.41,77,40,3.69
268,Shimoda,JP,2020-06-17 02:21:41,34.67,138.95,77.0,69,40,13.87
269,Bara,NG,2020-06-17 02:21:41,10.37,10.73,78.13,81,100,13.04
270,Sapa,PH,2020-06-17 02:21:41,5.15,120.32,85.98,65,69,5.35
271,Wanxian,CN,2020-06-17 02:21:41,30.8,108.39,84.78,72,100,2.44
272,Areosa,PT,2020-06-17 02:17:07,41.72,-8.86,61.0,87,75,1.86
273,Bandarbeyla,SO,2020-06-17 02:21:42,9.49,50.81,84.16,53,100,24.36
274,Norman Wells,CA,2020-06-17 02:21:42,65.28,-126.83,71.6,49,40,23.04
275,Jonesboro,US,2020-06-17 02:19:13,35.84,-90.7,79.0,69,1,6.93
276,Atasu,KZ,2020-06-17 02:21:43,48.68,71.64,53.74,81,100,22.21
277,Batsfjord,NO,2020-06-17 02:21:43,70.63,29.72,42.51,74,100,14.94
278,Pa Sang,TH,2020-06-17 02:21:44,18.53,98.94,84.99,66,75,3.36
279,Barcelos,PT,2020-06-17 02:21:44,41.54,-8.62,59.0,87,75,2.15
280,Chicama,PE,2020-06-17 02:17:07,-7.84,-79.15,64.98,81,28,7.78
281,Ouegoa,NC,2020-06-17 02:21:45,-20.35,164.43,78.24,58,3,7.25
282,Kirakira,SB,2020-06-17 02:21:45,-10.45,161.92,81.48,79,98,6.02
283,Sinnamary,GF,2020-06-17 02:21:45,5.38,-52.95,77.92,86,93,4.99
284,Akhtanizovskaya,RU,2020-06-17 02:21:45,45.32,37.1,60.8,100,40,4.47
285,Samarai,PG,2020-06-17 02:21:46,-10.62,150.67,78.08,86,100,10.92
286,Cacu,BR,2020-06-17 02:21:47,-18.56,-51.13,67.24,72,0,5.23
287,Vestmannaeyjar,IS,2020-06-17 02:21:47,63.44,-20.27,46.89,79,17,7.34
288,Codrington,AU,2020-06-17 02:21:47,-38.27,141.97,53.56,61,97,4.74
289,San Policarpo,PH,2020-06-17 02:21:48,12.18,125.51,85.5,68,100,5.32
290,Nguruka,TZ,2020-06-17 02:21:48,-5.11,31.04,57.56,68,0,3.96
291,Yabelo,ET,2020-06-17 02:21:49,4.88,38.08,57.76,89,92,9.71
292,Pucallpa,PE,2020-06-17 02:21:49,-8.38,-74.55,76.64,70,39,0.27
293,Mawlaik,MM,2020-06-17 02:21:50,23.63,94.42,81.84,88,100,2.62
294,Ampanihy,MG,2020-06-17 02:17:05,-24.7,44.75,63.43,70,52,13.76
295,Alofi,NU,2020-06-17 02:21:52,-19.06,-169.92,77.0,61,75,20.8
296,Sistranda,NO,2020-06-17 02:21:53,63.73,8.83,55.4,93,20,3.36
297,Dunedin,NZ,2020-06-17 02:21:53,-45.87,170.5,59.0,74,100,3.0
298,Semirom,IR,2020-06-17 02:21:53,31.42,51.57,58.59,33,0,3.15
299,Bambous Virieux,MU,2020-06-17 02:21:53,-20.34,57.76,69.8,83,40,14.99
300,Sobradinho,BR,2020-06-17 02:21:54,-12.83,-39.1,68.41,94,9,5.66
301,Imeni Poliny Osipenko,RU,2020-06-17 02:21:54,52.42,136.49,54.48,72,98,10.09
302,Pevek,RU,2020-06-17 02:21:54,69.7,170.31,47.19,63,79,5.79
303,Saint George,US,2020-06-17 02:18:54,37.1,-113.58,91.99,13,1,23.04
304,Hofn,IS,2020-06-17 02:21:56,64.25,-15.21,49.28,71,0,8.63
305,Shiraz,IR,2020-06-17 02:18:24,29.6,52.54,66.2,20,0,5.93
