City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
192,San Cristobal,VE,66.27,7.77,-72.22,Pirineos
193,Peniche,PT,64.99,39.36,-9.38,Hotel Star inn Peniche
195,Emba,KZ,67.3,48.83,58.14,
196,Barbastro,ES,66.2,42.04,0.13,Hotel San Ramón del Somontano
197,Catamarca,AR,62.01,-28.47,-65.79,Amerian Catamarca Park Hotel
198,Ixtapa,MX,84.2,20.7,-105.2,Container Inn Puerto Vallarta
199,Deputatskiy,RU,83.46,69.3,139.9,Baza Otdykha
200,Asyut,EG,79.05,27.18,31.18,Florence Hotel Assiut
202,Bambanglipuro,ID,82.56,-7.95,110.28,Puri Brata
203,Kindu,CD,69.55,-2.95,25.95,Hotel Karibu
208,Malinovoye Ozero,RU,63.72,51.68,79.78,"Kemping ""Malinovoye Ozero"""
209,Kaeo,NZ,64.0,-35.1,173.78,Bushido Lodge
210,San Vicente,AR,63.1,-26.62,-54.13,Complejo Turístico Farelluk
211,Tadine,NC,72.5,-21.55,167.88,
212,Sayyan,YE,64.42,15.17,44.32,الاستاذة مروى اليوسفي
213,Miramar,US,82.99,25.99,-80.23,Stadium Hotel
214,Haileybury,CA,73.4,47.45,-79.64,Haileybury Beach Motel
215,Iguatemi,BR,65.73,-23.68,-54.56,Hotel Seriema
216,Hami,CN,76.91,42.8,93.45,Laoyutang Resort
218,Savannah Bight,HN,83.25,16.45,-85.85,Villa on Dunbar Rock
219,Labuhan,ID,80.65,-6.88,112.21,bador sepret
220,Chapais,CA,75.2,49.78,-74.85,Hôtel Opémiska
222,La Ronge,CA,64.4,55.1,-105.28,Northland Motor Hotel
225,Nome,US,60.8,64.5,-165.41,Dredge 7 Inn
226,Yuzhno-Sukhokumsk,RU,74.53,44.66,45.64,Gostinitsa Kvankhidatli
227,La Primavera,CO,75.65,5.49,-70.41,La Riviera Hotel Colonial
228,Marsa Matruh,EG,70.83,31.35,27.25,Beau Site
229,Kidal,ML,89.31,18.44,1.41,
232,Sibu,MY,82.4,2.3,111.82,RH HOTEL (4 Star)
233,Bassar,TG,69.04,9.25,0.78,ABOU KPANKISSI
234,Svetlogorsk,BY,62.2,52.63,29.73,Hotel Svetlogorsk JBIK
235,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
238,Kalianget,ID,83.01,-7.05,113.93,Pesanggrahan Garam
240,Palmerston,AU,84.99,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
241,Chenzhou,CN,89.58,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
243,Tura,IN,81.14,25.52,90.22,Hotel RIKMAN Continental
245,Solano,US,87.8,38.23,-121.95,FamCamp
249,Noumea,NC,77.0,-22.28,166.46,Hôtel Le Lagon
251,Riyadh,SA,82.4,24.69,46.72,InterContinental Riyadh
252,Le Port,RE,69.8,-20.94,55.29,Villa Maido
254,Vilyuysk,RU,77.32,63.76,121.62,Gostinitsa Viliuisk
257,Bambous Virieux,MU,70.0,-20.34,57.76,Casa Tia Villa
258,Saint Anthony,US,70.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
259,Mosquera,CO,60.8,4.71,-74.23,Hotel SJ
264,Tooele,US,80.6,40.53,-112.3,Holiday Inn Express & Suites Tooele
265,Traverse City,US,71.6,44.76,-85.62,Bayshore Resort
267,Zaraza,VE,74.82,9.35,-65.32,Hotel Zaraza
269,Bandarbeyla,SO,80.02,9.49,50.81,REER XOOSHLE GROUP
271,Roma,US,73.4,43.21,-75.46,Wingate By Wyndham Rome
272,Ribeira Grande,PT,66.2,38.52,-28.7,Quinta da Meia Eira
273,Esna,EG,87.31,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
275,Kenema,SL,72.88,7.88,-11.19,Capitol Hotel
278,Tatawin,TN,75.2,32.93,10.45,Sangho Privilege Tataouine
279,Yerbogachen,RU,72.86,61.28,108.01,
282,Mecca,SA,81.07,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
283,Sabla,NG,85.32,12.75,4.71,
284,Ningyang,CN,80.08,35.76,116.79,Chong'er Guesthouse
286,Port Elgin,CA,68.0,46.05,-64.09,Terra Bella by the Shore
290,Tibiri,NE,87.3,13.56,7.05,
292,Panaba,MX,78.49,21.28,-88.27,Hotel Amor
293,Nurota,UZ,80.6,40.56,65.69,Guest House Ruslan Nurata & Tours
294,Santo Domingo,DO,84.99,18.5,-69.99,Micro Hotel Condo Suites
296,Bougouni,ML,83.34,11.42,-7.48,Non Stop
297,Hambantota,LK,80.6,6.12,81.12,Bungalow 63
298,Ouadda,CF,67.91,8.08,22.4,
299,Ryotsu,JP,75.2,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
300,Abha,SA,68.0,18.22,42.51,Abha Hotel
301,Bilibino,RU,83.3,68.05,166.44,Gostinitsa Severyanka
304,Matagami,CA,66.2,49.75,-77.63,Hôtel Matagami
305,Bundaberg,AU,73.99,-24.85,152.35,Takalvan Motel
307,Neiafu,TO,82.4,-18.65,-173.98,Mystic Sands
311,Ligayan,PH,83.91,4.65,119.47,
314,Port Keats,AU,83.23,-14.25,129.55,TDC Village (Hundred Man Camp)
315,Mahebourg,MU,69.8,-20.41,57.7,Shandrani Beachcomber Resort & Spa
317,Mizan Teferi,ET,62.94,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
319,Tabas,IR,87.8,33.6,56.92,شرکت معماری مهراز شایگان آراد
323,Akhisar,TR,65.93,38.92,27.84,Seybils Otel
324,Huarmey,PE,62.76,-10.07,-78.15,Hotel Miramar
325,Zhanaozen,KZ,79.77,43.3,52.8,K.korabay 28A
327,Baherden,TM,84.34,38.44,57.43,
328,Vaitape,PF,78.28,-16.52,-151.75,Hotel Maitai Polynesia
329,Hay River,CA,82.4,60.82,-115.8,Ptarmigan Inn Hotels
330,Udachnyy,RU,77.0,66.42,112.4,Gostinitsa Vilyuy
331,Guerrero Negro,MX,64.98,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
332,Dingle,PH,87.28,11.0,122.67,Camp Pasica
333,Viransehir,TR,71.62,37.24,39.76,Viranşehir Öğretmenevi
335,Pauini,BR,75.29,-7.71,-66.98,Casa do Kiwliks
337,Mozarlandia,BR,71.55,-14.74,-50.57,Hotel Santa Mônica
338,Bayir,TR,64.4,37.27,28.22,Buban Otel
344,Naze,JP,77.0,28.37,129.48,奄美ポートタワーホテル
345,Dongying,CN,84.7,37.46,118.49,Wanda Realm
346,Kavieng,PG,85.86,-2.57,150.8,Nusa Island Retreat
347,Nizhniy Tsasuchey,RU,72.61,50.52,115.13,
349,Conde,BR,73.4,-7.26,-34.91,Pousada Beija Flor
350,Rock Sound,BS,81.82,24.9,-76.2,Rock Sound Club
351,Itarema,BR,76.84,-2.92,-39.92,Windvillage
353,Hualmay,PE,61.92,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
355,Salalah,OM,84.2,17.02,54.09,HAMDAN PLAZA HOTEL
356,Sotouboua,TG,71.04,8.57,0.98,Hôtel Les Pros
357,Nongstoin,IN,71.06,25.52,91.27,Yo-yee Travellers Inn
360,Camacha,PT,68.0,33.08,-16.33,Hotel Porto Santo & Spa
361,Berea,US,73.99,41.37,-81.85,Comfort Inn Cleveland Airport
362,Itaporanga,BR,67.23,-7.3,-38.15,Hotel Rainha do Vale
364,Chifeng,CN,87.57,42.27,118.96,Junyu Tiancheng Hotel
367,Saint-Joseph,RE,68.0,-21.37,55.62,"""Plantation Bed and Breakfast"
368,Gashua,NG,86.25,12.87,11.05,Forte Oil - Old Lorry Park
369,Baculin,PH,86.05,7.45,126.58,Shovy's Cove
372,La Palma,US,75.99,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
377,Zaria,NG,73.6,11.11,7.72,A.B.U Hotels
378,San Jose,US,75.99,37.34,-121.89,The Westin San Jose
381,Ponta Delgada,PT,64.4,37.73,-25.67,Vila Nova Hotel
382,Eyl,SO,82.67,7.98,49.82,Amiin Hotel
383,Inhambane,MZ,64.09,-23.86,35.38,Oceano
385,Ponta Do Sol,PT,69.8,32.67,-17.1,Hotel do Campo
388,Shahr-E Babak,IR,67.59,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
389,Glenwood Springs,US,80.6,39.55,-107.32,Glenwood Springs Cedar Lodge
390,Palmer,US,78.8,42.16,-72.33,Wedgewood Motel
392,Dzaoudzi,YT,78.8,-12.79,45.27,Le Rocher
394,Puerto Del Rosario,ES,69.8,28.5,-13.86,Hotel JM Puerto del Rosario
395,Magistralnyy,RU,75.79,56.17,107.45,Магистраль
396,Syracuse,IT,64.99,37.09,15.28,Hotel Posta
399,Lata,PT,64.0,40.16,-8.33,Casa Maquia
401,Tema,GH,75.2,5.67,-0.02,Beulah Royale
403,Mormugao,IN,78.8,15.4,73.8,Hotel La-Paz Gardens
404,Sabirabad,AZ,71.6,40.01,48.48,Mugan Park Hotel
405,Kampene,CD,67.37,-3.6,26.67,
408,Seymchan,RU,82.54,62.88,152.43,
409,Turukhansk,RU,63.5,65.82,87.98,"ООО ""Туруханская пушнина"""
410,Eugene,US,73.99,44.05,-123.09,Valley River Inn
411,Kahului,US,89.6,20.89,-156.47,Maui Seaside Hotel
413,San Patricio,MX,81.91,19.22,-104.7,Hotel Cabo Blanco
414,Itaituba,BR,77.27,-4.28,-55.98,Hotel Campos
415,Nizhniy Kuranakh,RU,68.49,58.84,125.49,Park Pobedy
416,Tallahassee,US,82.4,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
417,Astoria,US,63.0,46.19,-123.83,Best Western Astoria Bayfront Hotel
418,Buedu,SL,71.83,8.28,-10.37,
419,La Cruz,MX,82.0,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
420,Giresun,TR,64.4,40.5,38.5,
421,Hervey Bay,AU,73.0,-25.3,152.85,Shelly Bay Resort
423,Wamba,NG,71.91,8.93,8.6,Roma Zee Guest House Annex
426,Tagusao,PH,86.7,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
427,Egvekinot,RU,63.72,66.32,-179.17,
428,Boralday,KZ,64.4,43.36,76.86,Burunday Oteli
429,Hobyo,SO,79.12,5.35,48.53,Osmani Hotel
431,Oia,PT,66.0,40.54,-8.54,Hotel Estalagem da Pateira
432,Sinegorye,RU,77.04,62.08,150.48,
